Linkage,k,Ticker,Cluster
ward,2,AAF.L,2
ward,2,AAL.L,1
ward,2,ABDN.L,1
ward,2,ABF.L,1
ward,2,ADM.L,1
ward,2,ALW.L,1
ward,2,ANTO.L,1
ward,2,AUTO.L,1
ward,2,AV.L,2
ward,2,AZN.L,2
ward,2,BA.L,2
ward,2,BAB.L,2
ward,2,BARC.L,2
ward,2,BATS.L,1
ward,2,BBOX.L,1
ward,2,BEZ.L,2
ward,2,BGEO.L,2
ward,2,BKG.L,1
ward,2,BLND.L,1
ward,2,BNZL.L,1
ward,2,BP.L,2
ward,2,BRBY.L,1
ward,2,BT-A.L,1
ward,2,BTRW.L,1
ward,2,CCEP.L,2
ward,2,CCH.L,1
ward,2,CNA.L,2
ward,2,CPG.L,2
ward,2,CRDA.L,1
ward,2,CTEC.L,1
ward,2,DCC.L,1
ward,2,DGE.L,1
ward,2,DPLM.L,2
ward,2,EDV.L,1
ward,2,ENT.L,1
ward,2,EXPN.L,1
ward,2,FCIT.L,1
ward,2,FRES.L,1
ward,2,GAW.L,1
ward,2,GLEN.L,2
ward,2,GSK.L,1
ward,2,HLMA.L,1
ward,2,HSBA.L,2
ward,2,HSX.L,1
ward,2,HWDN.L,1
ward,2,IAG.L,2
ward,2,ICG.L,1
ward,2,IGG.L,1
ward,2,IHG.L,2
ward,2,III.L,2
ward,2,IMB.L,2
ward,2,IMI.L,2
ward,2,INF.L,2
ward,2,ITRK.L,1
ward,2,JD.L,1
ward,2,KGF.L,1
ward,2,LAND.L,1
ward,2,LGEN.L,1
ward,2,LLOY.L,2
ward,2,LMP.L,1
ward,2,LSEG.L,1
ward,2,MKS.L,2
ward,2,MNDI.L,1
ward,2,MNG.L,1
ward,2,MRO.L,1
ward,2,NG.L,1
ward,2,NWG.L,2
ward,2,NXT.L,1
ward,2,PCT.L,1
ward,2,PRU.L,1
ward,2,PSH.L,2
ward,2,PSN.L,1
ward,2,PSON.L,2
ward,2,REL.L,2
ward,2,RIO.L,1
ward,2,RKT.L,1
ward,2,RMV.L,1
ward,2,RR.L,2
ward,2,RTO.L,1
ward,2,SBRY.L,1
ward,2,SDR.L,1
ward,2,SGE.L,2
ward,2,SGRO.L,1
ward,2,SHEL.L,2
ward,2,SMIN.L,1
ward,2,SMT.L,1
ward,2,SN.L,1
ward,2,SPX.L,1
ward,2,SSE.L,1
ward,2,STAN.L,2
ward,2,STJ.L,1
ward,2,SVT.L,1
ward,2,TSCO.L,1
ward,2,ULVR.L,1
ward,2,UU.L,1
ward,2,VOD.L,1
ward,2,WEIR.L,1
ward,2,WTB.L,1
ward,3,AAF.L,2
ward,3,AAL.L,1
ward,3,ABDN.L,1
ward,3,ABF.L,1
ward,3,ADM.L,1
ward,3,ALW.L,1
ward,3,ANTO.L,1
ward,3,AUTO.L,1
ward,3,AV.L,2
ward,3,AZN.L,2
ward,3,BA.L,2
ward,3,BAB.L,2
ward,3,BARC.L,2
ward,3,BATS.L,1
ward,3,BBOX.L,1
ward,3,BEZ.L,2
ward,3,BGEO.L,2
ward,3,BKG.L,1
ward,3,BLND.L,1
ward,3,BNZL.L,1
ward,3,BP.L,2
ward,3,BRBY.L,1
ward,3,BT-A.L,1
ward,3,BTRW.L,1
ward,3,CCEP.L,2
ward,3,CCH.L,1
ward,3,CNA.L,2
ward,3,CPG.L,2
ward,3,CRDA.L,1
ward,3,CTEC.L,1
ward,3,DCC.L,1
ward,3,DGE.L,1
ward,3,DPLM.L,2
ward,3,EDV.L,1
ward,3,ENT.L,1
ward,3,EXPN.L,1
ward,3,FCIT.L,1
ward,3,FRES.L,1
ward,3,GAW.L,1
ward,3,GLEN.L,2
ward,3,GSK.L,1
ward,3,HLMA.L,1
ward,3,HSBA.L,2
ward,3,HSX.L,1
ward,3,HWDN.L,1
ward,3,IAG.L,2
ward,3,ICG.L,1
ward,3,IGG.L,1
ward,3,IHG.L,2
ward,3,III.L,2
ward,3,IMB.L,2
ward,3,IMI.L,2
ward,3,INF.L,2
ward,3,ITRK.L,1
ward,3,JD.L,1
ward,3,KGF.L,1
ward,3,LAND.L,1
ward,3,LGEN.L,1
ward,3,LLOY.L,2
ward,3,LMP.L,1
ward,3,LSEG.L,1
ward,3,MKS.L,2
ward,3,MNDI.L,1
ward,3,MNG.L,1
ward,3,MRO.L,1
ward,3,NG.L,1
ward,3,NWG.L,2
ward,3,NXT.L,1
ward,3,PCT.L,1
ward,3,PRU.L,1
ward,3,PSH.L,2
ward,3,PSN.L,1
ward,3,PSON.L,2
ward,3,REL.L,2
ward,3,RIO.L,1
ward,3,RKT.L,1
ward,3,RMV.L,1
ward,3,RR.L,3
ward,3,RTO.L,1
ward,3,SBRY.L,1
ward,3,SDR.L,1
ward,3,SGE.L,2
ward,3,SGRO.L,1
ward,3,SHEL.L,2
ward,3,SMIN.L,1
ward,3,SMT.L,1
ward,3,SN.L,1
ward,3,SPX.L,1
ward,3,SSE.L,1
ward,3,STAN.L,2
ward,3,STJ.L,1
ward,3,SVT.L,1
ward,3,TSCO.L,1
ward,3,ULVR.L,1
ward,3,UU.L,1
ward,3,VOD.L,1
ward,3,WEIR.L,1
ward,3,WTB.L,1
ward,4,AAF.L,2
ward,4,AAL.L,1
ward,4,ABDN.L,1
ward,4,ABF.L,1
ward,4,ADM.L,1
ward,4,ALW.L,1
ward,4,ANTO.L,1
ward,4,AUTO.L,1
ward,4,AV.L,2
ward,4,AZN.L,2
ward,4,BA.L,3
ward,4,BAB.L,3
ward,4,BARC.L,2
ward,4,BATS.L,1
ward,4,BBOX.L,1
ward,4,BEZ.L,2
ward,4,BGEO.L,3
ward,4,BKG.L,1
ward,4,BLND.L,1
ward,4,BNZL.L,1
ward,4,BP.L,2
ward,4,BRBY.L,1
ward,4,BT-A.L,1
ward,4,BTRW.L,1
ward,4,CCEP.L,2
ward,4,CCH.L,1
ward,4,CNA.L,3
ward,4,CPG.L,2
ward,4,CRDA.L,1
ward,4,CTEC.L,1
ward,4,DCC.L,1
ward,4,DGE.L,1
ward,4,DPLM.L,2
ward,4,EDV.L,1
ward,4,ENT.L,1
ward,4,EXPN.L,1
ward,4,FCIT.L,1
ward,4,FRES.L,1
ward,4,GAW.L,1
ward,4,GLEN.L,2
ward,4,GSK.L,1
ward,4,HLMA.L,1
ward,4,HSBA.L,2
ward,4,HSX.L,1
ward,4,HWDN.L,1
ward,4,IAG.L,2
ward,4,ICG.L,1
ward,4,IGG.L,1
ward,4,IHG.L,2
ward,4,III.L,3
ward,4,IMB.L,2
ward,4,IMI.L,2
ward,4,INF.L,2
ward,4,ITRK.L,1
ward,4,JD.L,1
ward,4,KGF.L,1
ward,4,LAND.L,1
ward,4,LGEN.L,1
ward,4,LLOY.L,2
ward,4,LMP.L,1
ward,4,LSEG.L,1
ward,4,MKS.L,3
ward,4,MNDI.L,1
ward,4,MNG.L,1
ward,4,MRO.L,1
ward,4,NG.L,1
ward,4,NWG.L,2
ward,4,NXT.L,1
ward,4,PCT.L,1
ward,4,PRU.L,1
ward,4,PSH.L,2
ward,4,PSN.L,1
ward,4,PSON.L,2
ward,4,REL.L,2
ward,4,RIO.L,1
ward,4,RKT.L,1
ward,4,RMV.L,1
ward,4,RR.L,4
ward,4,RTO.L,1
ward,4,SBRY.L,1
ward,4,SDR.L,1
ward,4,SGE.L,2
ward,4,SGRO.L,1
ward,4,SHEL.L,2
ward,4,SMIN.L,1
ward,4,SMT.L,1
ward,4,SN.L,1
ward,4,SPX.L,1
ward,4,SSE.L,1
ward,4,STAN.L,2
ward,4,STJ.L,1
ward,4,SVT.L,1
ward,4,TSCO.L,1
ward,4,ULVR.L,1
ward,4,UU.L,1
ward,4,VOD.L,1
ward,4,WEIR.L,1
ward,4,WTB.L,1
complete,2,AAF.L,1
complete,2,AAL.L,1
complete,2,ABDN.L,1
complete,2,ABF.L,1
complete,2,ADM.L,1
complete,2,ALW.L,1
complete,2,ANTO.L,1
complete,2,AUTO.L,1
complete,2,AV.L,1
complete,2,AZN.L,1
complete,2,BA.L,1
complete,2,BAB.L,1
complete,2,BARC.L,1
complete,2,BATS.L,1
complete,2,BBOX.L,1
complete,2,BEZ.L,1
complete,2,BGEO.L,1
complete,2,BKG.L,1
complete,2,BLND.L,1
complete,2,BNZL.L,1
complete,2,BP.L,1
complete,2,BRBY.L,1
complete,2,BT-A.L,1
complete,2,BTRW.L,1
complete,2,CCEP.L,1
complete,2,CCH.L,1
complete,2,CNA.L,1
complete,2,CPG.L,1
complete,2,CRDA.L,1
complete,2,CTEC.L,1
complete,2,DCC.L,1
complete,2,DGE.L,1
complete,2,DPLM.L,1
complete,2,EDV.L,1
complete,2,ENT.L,1
complete,2,EXPN.L,1
complete,2,FCIT.L,1
complete,2,FRES.L,1
complete,2,GAW.L,1
complete,2,GLEN.L,1
complete,2,GSK.L,1
complete,2,HLMA.L,1
